IdentificatieKenmerk;Naam;Classificatie_Code;Classificatie_Omschrijving;Classificatie_Bron;Classificatie_DatumOfPeriode;Dekking_InTijd_Begin;Dekking_InTijd_Eind;Dekking_GeografischGebied;Taal;Eventgeschiedenis_DatumOfPeriode;Eventgeschiedenis_Type;Eventgeschiedenis_VerantwoordelijkeFunctionaris;Context_Actor_IdentificatieKenmerk;Context_Actor_AggregatieNiveau;Context_Actor_GeautoriseerdeNaam;Context_Activiteit_Naam;Gebruiksrechten_OmschrijvingVoorwaarden;Gebruiksrechten_DatumOfPeriode;Vertrouwelijkheid_ClassificatieNiveau;Vertrouwelijkheid_DatumOfPeriode;Openbaarheid_OmschrijvingBeperkingen;Openbaarheid_DatumOfPeriode;Integriteit
NL-0784-BV000004707;bouwen van woningen met bergingen (40 woningen en 5 garages) en 7 garages verschuurstraat Monseigneur Schaepmanstraat 1 10-09-1965;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;10-9-1965;10-9-1965;Monseigneur Schaepmanstraat 1 5121TK Rijen,Monseigneur Schaepmanstraat 3 5121TK Rijen,Monseigneur Schaepmanstraat 5 5121TK Rijen,Monseigneur Schaepmanstraat 7 5121TK Rijen,Monseigneur Schaepmanstraat 9 5121TK Rijen,Monseigneur Schaepmanstraat 11 5121TK Rijen,Monseigneur Schaepmanstraat 13 5121TK Rijen,Monseigneur Schaepmanstraat 15 5121TK Rijen,Monseigneur Schaepmanstraat 29 5121TK Rijen,Monseigneur Schaepmanstraat 31 5121TK Rijen,Monseigneur Schaepmanstraat 33 5121TK Rijen,Monseigneur Schaepmanstraat 35 5121TL Rijen,Monseigneur Schaepmanstraat 37 5121TL Rijen,Monseigneur Schaepmanstraat 39 5121TL Rijen,Monseigneur Schaepmanstraat 41 5121TL Rijen,Verschuurstraat 1 A 5121TN Rijen,Verschuurstraat 1 B 5121TN Rijen,Verschuurstraat 1 C 5121TN Rijen,Verschuurstraat 1 D 5121TN Rijen,Verschuurstraat 1 E 5121TN Rijen,Verschuurstraat 1 F 5121TN Rijen,Verschuurstraat 1 G 5121TN Rijen,Grotiusplantsoen 1 5121TR Rijen,Grotiusplantsoen 3 5121TR Rijen,Grotiusplantsoen 5 5121TR Rijen,Grotiusplantsoen 7 5121TR Rijen,Grotiusplantsoen 9 5121TR Rijen,Grotiusplantsoen 11 5121TR Rijen,Grotiusplantsoen 13 5121TR Rijen,Grotiusplantsoen 15 5121TR Rijen,Grotiusplantsoen 17 5121TR Rijen,Grotiusplantsoen 19 5121TR Rijen,Grotiusplantsoen 21 5121TR Rijen,Grotiusplantsoen 23 5121TR Rijen,Aalbersestraat 26 A 5121VB Rijen,Aalbersestraat 26 B 5121VB Rijen,Aalbersestraat 26 C 5121VB Rijen,Aalbersestraat 26 D 5121VB Rijen,Aalbersestraat 26 E 5121VB Rijen,Aalbersestraat 26 F 5121VB Rijen,Brabantpark 20 5121VE Rijen,Brabantpark 21 5121VE Rijen,Brabantpark 22 5121VE Rijen,Brabantpark 23 5121VE Rijen,Brabantpark 24 5121VE Rijen,Brabantpark 25 5121VE Rijen,Brabantpark 26 5121VE Rijen,Brabantpark 27 5121VE Rijen,Brabantpark 28 5121VE Rijen,Brabantpark 29 5121VE Rijen,Brabantpark 30 5121VE Rijen,Brabantpark 31 5121VE Rijen,Brabantpark 32 5121VE Rijen,Brabantpark 33 5121VE Rijen,Brabantpark 34 5121VE Rijen,Brabantpark 35 5121VE Rijen,Brabantpark 36 5121VG Rijen,Brabantpark 37 5121VG Rijen,Brabantpark 38 5121VG Rijen,Brabantpark 39 5121VG Rijen,Brabantpark 40 5121VG Rijen,Brabantpark 41 5121VG Rijen,Brabantpark 42 5121VG Rijen;dut;10-9-1965;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;10-9-1965;Niet vertrouwelijk;10-9-1965;Openbaar;10-9-1965;Integer
NL-0784-BV000001574;bouwen schuur met noodwoning Mosstraat 8 02-10-1945;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;2-10-1945;2-10-1945;Mosstraat 8 5121ZJ Rijen;dut;2-10-1945;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;2-10-1945;Niet vertrouwelijk;2-10-1945;Openbaar;2-10-1945;Integer
NL-0784-BV000005881;bouw serre Nerhovensestraat 14 29-01-1970;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;29-1-1970;29-1-1970;Nerhovensestraat 14 5126TE Gilze;dut;29-1-1970;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;29-1-1970;Niet vertrouwelijk;29-1-1970;Openbaar;29-1-1970;Integer
NL-0784-BV000000074;bouwen woonhuis Nieuwstraat 113 17-04-1907;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;17-4-1907;17-4-1907;Nieuwstraat 113 5126CC Gilze;dut;17-4-1907;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;17-4-1907;Niet vertrouwelijk;17-4-1907;Openbaar;17-4-1907;Integer
NL-0784-BV000001532;badkamer in bestande woning Nieuwstraat 63 17-06-1943;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;17-6-1943;17-6-1943;Nieuwstraat 63 5126CB Gilze;dut;17-6-1943;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;17-6-1943;Niet vertrouwelijk;17-6-1943;Openbaar;17-6-1943;Integer
NL-0784-BV000003677;plaatsen dakkapel Oranjestraat 30 20-06-1961;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;20-6-1961;20-6-1961;Oranjestraat 30 5126BP Gilze;dut;20-6-1961;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;20-6-1961;Niet vertrouwelijk;20-6-1961;Openbaar;20-6-1961;Integer
NL-0784-BV000001023;bouwen hoenderhok Oranjestraat 46 19-07-1933;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;19-7-1933;19-7-1933;Oranjestraat 46 5126BP Gilze;dut;19-7-1933;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;19-7-1933;Niet vertrouwelijk;19-7-1933;Openbaar;19-7-1933;Integer
NL-0784-BV000003524;bouwen woonhuis Oude Baan 3 02-09-1960;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;2-9-1960;2-9-1960;Oude Baan 3 5125NG Hulten;dut;2-9-1960;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;2-9-1960;Niet vertrouwelijk;2-9-1960;Openbaar;2-9-1960;Integer
NL-0784-BV000010988;oprichten van een vrijstaand woonhuis met garage-berging Oude Baan 30 01-03-1988;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;1-3-1988;1-3-1988;Oude Baan 30 5125NG Hulten;dut;1-3-1988;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;1-3-1988;Niet vertrouwelijk;1-3-1988;Openbaar;1-3-1988;Integer
NL-0784-BV000000478;bouwen autoberging Pastoor Gillisstraat 8 17-09-1924;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;17-9-1924;17-9-1924;Pastoor Gillisstraat 8 5121CE Rijen;dut;17-9-1924;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;17-9-1924;Niet vertrouwelijk;17-9-1924;Openbaar;17-9-1924;Integer
NL-0784-BV000015677;plaatsen tuinhuisje Pius X-Straat 37 21-05-1996;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;21-5-1996;21-5-1996;Pius X-straat 37 5121EP Rijen;dut;21-5-1996;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;21-5-1996;Niet vertrouwelijk;21-5-1996;Openbaar;21-5-1996;Integer
NL-0784-BV000015819;plaatsen van een dakkapel in achtergeveldakvlak van de woning Prins Hendrikstraat 40 24-03-1998;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;24-3-1998;24-3-1998;Prins Hendrikstraat 40 5121XT Rijen;dut;24-3-1998;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;24-3-1998;Niet vertrouwelijk;24-3-1998;Openbaar;24-3-1998;Integer
NL-0784-BV000002247;bouwen 2 planton wachtgebouwtjes Prinsenbosch 5 B 28-10-1952;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;28-10-1952;28-10-1952;Prinsenbosch 5 B 5126NC Gilze;dut;28-10-1952;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;28-10-1952;Niet vertrouwelijk;28-10-1952;Openbaar;28-10-1952;Integer
NL-0784-BV000002631;gebouw 23 bouwen legeringsgebouw Prinsenbosch 5 B 26-04-1955;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;26-4-1955;26-4-1955;Prinsenbosch 5 B 5126NC Gilze;dut;26-4-1955;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;26-4-1955;Niet vertrouwelijk;26-4-1955;Openbaar;26-4-1955;Integer
NL-0784-BV000009314;verbouwen en vergroten gemeentehuis Raadhuisplein 1 WS 28-04-1981;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;28-4-1981;28-4-1981;Raadhuisplein 1 5121JX RIjen;dut;28-4-1981;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;28-4-1981;Vertrouwelijk;28-4-1981;Niet openbaar;28-4-1981;Integer
NL-0784-BV000000979;bouwen landhuis, kantoor en limonadefabriek Raadhuisstraat 20 en 20 A 05-10-1932;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;5-10-1932;5-10-1932;Raadhuisstraat 20 5126CJ Gilze,Raadhuisstraat 20 A 5126CJ Gilze;dut;5-10-1932;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;5-10-1932;Niet vertrouwelijk;5-10-1932;Openbaar;5-10-1932;Integer
NL-0784-BV000000046;bouw school-cathechismuslokalem,sacristie en portiek Raadhuisstraat 3 07-10-1908;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;7-10-1908;7-10-1908;Raadhuisstraat 3 5126CK Gilze;dut;7-10-1908;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;7-10-1908;Niet vertrouwelijk;7-10-1908;Openbaar;7-10-1908;Integer
NL-0784-BV000000476;bouwen 2 arbeiderswoningen Raakeindse Kerkweg 91 06-09-1924;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;6-9-1924;6-9-1924;Raakeindse Kerkweg 91 5124RZ Molenschot;dut;6-9-1924;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;6-9-1924;Niet vertrouwelijk;6-9-1924;Openbaar;6-9-1924;Integer
NL-0784-BV000013954;verbouwen en vergroten woonhuis Ridderstraat 11 29-01-1991;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;29-1-1991;29-1-1991;Ridderstraat 11 5126BG Gilze;dut;29-1-1991;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;29-1-1991;Niet vertrouwelijk;29-1-1991;Openbaar;29-1-1991;Integer
NL-0784-BV000002956;bouwen tuinderswoning en schuur Ridderstraat 50 14-02-1957;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;14-2-1957;14-2-1957;Ridderstraat 50 5126BH Gilze;dut;14-2-1957;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;14-2-1957;Niet vertrouwelijk;14-2-1957;Openbaar;14-2-1957;Integer
NL-0784-BV000001305;bouwen boerderij Rielsebaan 30 08-06-1937;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;8-6-1937;8-6-1937;Rielsebaan 30 5126PL Gilze;dut;8-6-1937;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;8-6-1937;Niet vertrouwelijk;8-6-1937;Openbaar;8-6-1937;Integer
NL-0784-BV000006581;geheel oprichten van een garage Rijksweg 11 05-03-1973;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;5-3-1973;5-3-1973;Rijksweg 11 5125NB Hulten;dut;5-3-1973;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;5-3-1973;Niet vertrouwelijk;5-3-1973;Openbaar;5-3-1973;Integer
NL-0784-BV000014300;vergroten horecapand Rijksweg 115 14-01-1992;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;14-1-1992;14-1-1992;Rijksweg 115 5121RD Rijen;dut;14-1-1992;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;14-1-1992;Niet vertrouwelijk;14-1-1992;Openbaar;14-1-1992;Integer
NL-0784-BV000021255;het plaatsen van kantoor-werkplaatsunits en 7 opslagcontainers met een instandhoudingstermijn van m Rijksweg 121 14-04-2010;-1.733.22;Bouw van woningen en gebouwen van bijzondere aard;basisarchiefcode;2009;14-4-2010;14-4-2010;Rijksweg 121 5121RD Rijen;dut;14-4-2010;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;14-4-2010;Geheim;14-4-2010;Niet openbaar;14-4-2010;Integer
NL-0784-BV000002483;bouwen toilet en wasgelegenheden Rijksweg 202 09-06-1954;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;9-6-1954;9-6-1954;Rijksweg 202 5121RC Rijen;dut;9-6-1954;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;9-6-1954;Niet vertrouwelijk;9-6-1954;Openbaar;9-6-1954;Integer
NL-0784-BV000002057;bouw pastorie Rijksweg 24 05-03-1951;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;5-3-1951;5-3-1951;Rijksweg 24 5125NA Hulten;dut;5-3-1951;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;5-3-1951;Niet vertrouwelijk;5-3-1951;Openbaar;5-3-1951;Integer
NL-0784-BV000000281;woonhuis met stal en schuur Schaapsdijk 10 06-08-1919;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;6-8-1919;6-8-1919;Schaapsdijk 10 5126PK Gilze;dut;6-8-1919;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;6-8-1919;Niet vertrouwelijk;6-8-1919;Openbaar;6-8-1919;Integer
NL-0784-BV000011780;gedeeltelijk veranderen woonhuis Schoolstraat 15 08-05-1990;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;8-5-1990;8-5-1990;Schoolstraat 15 5124RM Molenschot;dut;8-5-1990;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;8-5-1990;Niet vertrouwelijk;8-5-1990;Openbaar;8-5-1990;Integer
NL-0784-BV000000503;bouwen boerderij Schoolstraat 47 18-02-1925;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;18-2-1925;18-2-1925;Schoolstraat 47 5124RN Molenschot;dut;18-2-1925;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;18-2-1925;Niet vertrouwelijk;18-2-1925;Openbaar;18-2-1925;Integer
NL-0784-BV000010718;oprichten van een brandweergarage Schoolstraat 5 A 28-04-1987;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;28-4-1987;28-4-1987;Schoolstraat 5 A 5124RM Molenschot;dut;28-4-1987;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;28-4-1987;Niet vertrouwelijk;28-4-1987;Openbaar;28-4-1987;Integer
NL-0784-BV000018735;het vergroten van de woning. Schoolstraat 53 14-12-2004;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;14-12-2004;14-12-2004;Schoolstraat 53 5124RN Molenschot;dut;14-12-2004;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;14-12-2004;Niet vertrouwelijk;14-12-2004;Openbaar;14-12-2004;Integer
NL-0784-BV000003157;bouw berging Schoolstraat 62 23-05-1958;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;23-5-1958;23-5-1958;Schoolstraat 62 5124RN Molenschot;dut;23-5-1958;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;23-5-1958;Niet vertrouwelijk;23-5-1958;Openbaar;23-5-1958;Integer
NL-0784-BV000018797;het aanbrengen van lichtreclame Spoorlaan Noord 17 12-12-2000;-1.733.22;Bouw van woningen en gebouwen van bijzondere aard;basisarchiefcode;2009;12-12-2000;12-12-2000;Spoorlaan Noord 17 5121WV Rijen;dut;12-12-2000;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;12-12-2000;Niet vertrouwelijk;12-12-2000;Openbaar;12-12-2000;Integer
NL-0784-BV000001096;bouwen woonhuis Spoorlaan Zuid 21 07-06-1934;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;7-6-1934;7-6-1934;Spoorlaan Zuid 21 5121LB Rijen;dut;7-6-1934;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;7-6-1934;Niet vertrouwelijk;7-6-1934;Openbaar;7-6-1934;Integer
NL-0784-BV000010351;uitbreiden stations-rijwielstalling Stationsplein 1 11-02-1986;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;11-2-1986;11-2-1986;Stationsplein 1 5121EA Rijen;dut;11-2-1986;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;11-2-1986;Niet vertrouwelijk;11-2-1986;Openbaar;11-2-1986;Integer
NL-0784-BV000000257;bouwen hoofd-nevengebouw, goederenbergplaats en schuilplaats Stationsplein 1 21-07-1915;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;21-7-1915;21-7-1915;Stationsplein 1 5121EA Rijen,Stationsplein 1 A 5121EA Rijen,Stationsplein 2 5121EA Rijen;dut;21-7-1915;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;21-7-1915;Niet vertrouwelijk;21-7-1915;Openbaar;21-7-1915;Integer
NL-0784-BV000007442;plaatsen van een rijwielstalling Stationsplein 3 17-12-1975;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;17-12-1975;17-12-1975;Stationsplein 3 5121EA Rijen;dut;17-12-1975;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;17-12-1975;Niet vertrouwelijk;17-12-1975;Openbaar;17-12-1975;Integer
NL-0784-BV000020203;het plaatsen van een bedrijfslogo Stationsplein 5 06-06-2006;-1.733.22;Bouw van woningen en gebouwen van bijzondere aard;basisarchiefcode;2009;6-6-2006;6-6-2006;Stationsplein 5 5121EA Rijen;dut;6-6-2006;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;6-6-2006;Niet vertrouwelijk;6-6-2006;Openbaar;6-6-2006;Integer
NL-0784-BV000001004;bouwen woning met veestal en schuur Stationsstraat 49 03-05-1933;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;3-5-1933;3-5-1933;Stationsstraat 49 A 5121EB Rijen;dut;3-5-1933;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;3-5-1933;Niet vertrouwelijk;3-5-1933;Openbaar;3-5-1933;Integer
NL-0784-BV000000459;bouwen dokterswoning Stationsstraat 52 18-06-1924;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;18-6-1924;18-6-1924;Stationsstraat 52 5121EE Rijen;dut;18-6-1924;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;18-6-1924;Niet vertrouwelijk;18-6-1924;Openbaar;18-6-1924;Integer
NL-0784-BV000000062;bouwen direkteurswoning Stationsstraat 8 15-09-1909;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;15-9-1909;15-9-1909;Stationsstraat 8 5121ED Rijen;dut;15-9-1909;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;15-9-1909;Niet vertrouwelijk;15-9-1909;Openbaar;15-9-1909;Integer
NL-0784-BV000000277;bouwen zesklassige school Tuinstraat 15 16-06-1919;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;16-6-1919;16-6-1919;Tuinstraat 15 5121EG Rijen;dut;16-6-1919;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;16-6-1919;Niet vertrouwelijk;16-6-1919;Openbaar;16-6-1919;Integer
NL-0784-BV000000523;bouwen woonhuis Tuinstraat 40 06-05-1925;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;6-5-1925;6-5-1925;Tuinstraat 40 5121EJ Rijen;dut;6-5-1925;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;6-5-1925;Niet vertrouwelijk;6-5-1925;Openbaar;6-5-1925;Integer
NL-0784-BV000003297;bouwen magazijn van Ghertstraat 4 12-05-1959;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;12-5-1959;12-5-1959;van Ghertstraat 4 5121HZ Rijen,van Ghertstraat 6 5121HZ Rijen,van Ghertstraat 8 5121HZ Rijen;dut;12-5-1959;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;12-5-1959;Niet vertrouwelijk;12-5-1959;Openbaar;12-5-1959;Integer
NL-0784-BV000000411;bouwen stal voor varkens en mestvaalt Veenstraat 1 16-05-1923;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;16-5-1923;16-5-1923;Veenstraat 1 5124NC Molenschot;dut;16-5-1923;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;16-5-1923;Niet vertrouwelijk;16-5-1923;Openbaar;16-5-1923;Integer
NL-0784-BV000002765;bouwen kippenhok Venneweg 18 22-02-1956;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;22-2-1956;22-2-1956;Venneweg 18 5121RA Rijen;dut;22-2-1956;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;22-2-1956;Niet vertrouwelijk;22-2-1956;Openbaar;22-2-1956;Integer
NL-0784-BV000018415;het bouwen van een vrijstaande vervangende nieuwbouw woning Versterstraat 19 05-08-2003;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;5-8-2003;5-8-2003;Versterstraat 19 5126BT Gilze;dut;5-8-2003;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;5-8-2003;Niet vertrouwelijk;5-8-2003;Openbaar;5-8-2003;Integer
NL-0784-BV000001388;bouwen van een kantoor / woning Vijf Eiken 8 23-03-1939;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;23-3-1939;23-3-1939;Vijf Eiken 8 5121RG Rijen;dut;23-3-1939;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;23-3-1939;Niet vertrouwelijk;23-3-1939;Openbaar;23-3-1939;Integer
NL-0784-BV000020938;het uitbreiden van de woning middels een verdieping op de garage Wethouder van den Wildenbergstraat 30 28-04-2009;-1.733.33;Verbetering van woningen en gebouwen;basisarchiefcode;2009;28-4-2009;28-4-2009;Wethouder van den Wildenbergstraat 30 5126TM Gilze;dut;28-4-2009;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;28-4-2009;Niet vertrouwelijk;28-4-2009;Openbaar;28-4-2009;Integer
NL-0784-BV000019553;het plaatsen van een carport Wilhelmina Druckerstraat 1 29-05-2007;-1.733.21;Bouw van woningen en gebouwen;basisarchiefcode;2009;29-5-2007;29-5-2007;Wilhelmina Druckerstraat 1 5122BC Rijen;dut;29-5-2007;Overdracht;Gemeente;784;Organisatie;Gemeente Gilze en Rijen;Verlenen van bouw- en sloopvergunningen;Vrij te gebruiken;29-5-2007;Niet vertrouwelijk;29-5-2007;Openbaar;29-5-2007;Integer
